Champion,counters champ,champ counters,champ_wr
darius,"('Yorick', 49)","('Rengar', 61)",0.5208333333333334
darius,"('Briar', 51)","('Rammus', 60)",0.5208333333333334
darius,"('Amumu', 51)","('Taliyah', 59)",0.5208333333333334
darius,"('Wukong', 52)","('Karthus', 59)",0.5208333333333334
darius,"('Ekko', 52)","('Nidalee', 59)",0.5208333333333334
nilah,"('Sivir', 46)","('Twitch', 59)",0.5033112582781457
nilah,"('Xayah', 46)","('Samira', 57)",0.5033112582781457
nilah,"('Corki', 47)","(""Kai'Sa"", 56)",0.5033112582781457
nilah,"('Jinx', 49)","('Caitlyn', 56)",0.5033112582781457
nilah,"('Miss Fortune', 51)","('Ezreal', 56)",0.5033112582781457
taric,"('Milio', 41)","('Yuumi', 59)",0.46056547619047616
taric,"('Lulu', 50)","('Nautilus', 57)",0.46056547619047616
taric,"('Janna', 51)","('Leona', 57)",0.46056547619047616
taric,"('Lux', 51)","('Blitzcrank', 55)",0.46056547619047616
taric,"('Braum', 52)","('Thresh', 54)",0.46056547619047616
jinx,"('Twitch', 49)","('Kalista', 56)",0.49956759873162293
jinx,"('Tristana', 50)","('Samira', 55)",0.49956759873162293
jinx,"('Vayne', 50)","(""Kai'Sa"", 55)",0.49956759873162293
jinx,"('Lucian', 51)","('Aphelios', 54)",0.49956759873162293
jinx,"(""Kog'Maw"", 51)","('Smolder', 54)",0.49956759873162293
nami,"('Braum', 48)","('Mel', 56)",0.5196037969459348
nami,"('Sona', 48)","('Brand', 56)",0.5196037969459348
nami,"('Taric', 48)","('Swain', 55)",0.5196037969459348
nami,"('Nautilus', 48)","('Lux', 54)",0.5196037969459348
nami,"('Neeko', 49)","('Morgana', 53)",0.5196037969459348
vayne,"(""Kog'Maw"", 49)","('Varus', 55)",0.4753787878787879
vayne,"('Miss Fortune', 49)","('Ezreal', 55)",0.4753787878787879
vayne,"('Nilah', 49)","('Ziggs', 55)",0.4753787878787879
vayne,"('Twitch', 49)","('Kalista', 54)",0.4753787878787879
vayne,"('Aphelios', 49)","('Jhin', 54)",0.4753787878787879
nocturne,"('Udyr', 45)","('Rengar', 58)",0.4965205288796103
nocturne,"('Yorick', 47)","('Elise', 56)",0.4965205288796103
nocturne,"('Darius', 47)","('Gragas', 56)",0.4965205288796103
nocturne,"('Jarvan IV', 49)","(""Rek'Sai"", 55)",0.4965205288796103
nocturne,"('Shyvana', 49)","('Ivern', 55)",0.4965205288796103
warwick,"('Yorick', 45)","('Nidalee', 59)",0.40425531914893614
warwick,"('Darius', 47)","('Karthus', 58)",0.40425531914893614
warwick,"('Gwen', 47)","(""Kha'Zix"", 57)",0.40425531914893614
warwick,"('Amumu', 47)","('Shyvana', 57)",0.40425531914893614
warwick,"('Sejuani', 48)","('Skarner', 57)",0.40425531914893614
braum,"('Zilean', 45)","('Seraphine', 56)",0.48336345274795367
braum,"('Sona', 46)","('Mel', 55)",0.48336345274795367
braum,"('Zyra', 48)","('Nautilus', 55)",0.48336345274795367
braum,"('Swain', 48)","('Elise', 55)",0.48336345274795367
braum,"('Janna', 48)","('Poppy', 55)",0.48336345274795367
kayle,"('Malphite', 43)","(""K'Sante"", 61)",0.49514563106796117
kayle,"('Camille', 46)","('Illaoi', 59)",0.49514563106796117
kayle,"('Riven', 48)","('Gangplank', 58)",0.49514563106796117
kayle,"('Nasus', 48)","('Garen', 57)",0.49514563106796117
kayle,"('Irelia', 48)","('Gwen', 56)",0.49514563106796117
yorick,"('Irelia', 43)","('Dr. Mundo', 57)",0.4855371900826446
yorick,"('Urgot', 43)","('Illaoi', 57)",0.4855371900826446
yorick,"('Sett', 44)","('Kennen', 57)",0.4855371900826446
yorick,"('Warwick', 44)","('Teemo', 57)",0.4855371900826446
yorick,"('Trundle', 45)","('Darius', 56)",0.4855371900826446
janna,"('Sona', 46)","('Mel', 61)",0.5215311004784688
janna,"('Elise', 47)","('Alistar', 59)",0.5215311004784688
janna,"('Nami', 48)","('Rakan', 57)",0.5215311004784688
janna,"('Poppy', 48)","('Swain', 57)",0.5215311004784688
janna,"('Milio', 48)","('Xerath', 56)",0.5215311004784688
ornn,"('Kayle', 47)","('Pantheon', 58)",0.48064085447263016
ornn,"('Fiora', 48)","('Gragas', 58)",0.48064085447263016
ornn,"('Mordekaiser', 48)","('Dr. Mundo', 58)",0.48064085447263016
ornn,"('Yone', 48)","('Malphite', 57)",0.48064085447263016
ornn,"('Ambessa', 48)","('Rumble', 57)",0.48064085447263016
anivia,"('Ahri', 47)","('LeBlanc', 58)",0.39183673469387753
