,teamname,league,year,gameid,side,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,result,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
0,Weibo Gaming,LPL,2025,11715-11715_game_1,Blue,K'Sante,Jayce,Poppy,Rumble,Rakan,Rell,K'Sante,Viego,Aurora,Ashe,Braum,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Oh My God,LPL,2025,11715-11715_game_1,Red,Gnar,Skarner,Vi,Kalista,Xin Zhao,Wukong,Gnar,Nocturne,Orianna,Varus,Neeko,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Oh My God,LPL,2025,11715-11715_game_2,Blue,Rumble,Caitlyn,Vi,Xin Zhao,Poppy,Alistar,Rumble,Maokai,Ambessa,Jhin,Rell,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Weibo Gaming,LPL,2025,11715-11715_game_2,Red,Jayce,Kalista,Skarner,Corki,Sejuani,Yone,Jayce,Wukong,Viktor,Miss Fortune,Rakan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Oh My God,LPL,2025,11715-11715_game_3,Blue,Aatrox,Vi,Caitlyn,Xin Zhao,Akali,Alistar,Aatrox,Zyra,Yone,Ziggs,Leona,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Weibo Gaming,LPL,2025,11715-11715_game_3,Red,Jax,Skarner,Kalista,Corki,Kai'Sa,Renekton,Jax,Sejuani,Sylas,Jinx,Poppy,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,LNG Esports,LPL,2025,11716-11716_game_1,Blue,K'Sante,Galio,Nocturne,Varus,Corki,Miss Fortune,K'Sante,Pantheon,Vladimir,Kalista,Neeko,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ThunderTalk Gaming,LPL,2025,11716-11716_game_1,Red,Rumble,Skarner,Ashe,Renata Glasc,Akali,Viktor,Rumble,Vi,Aurora,Ezreal,Leona,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ThunderTalk Gaming,LPL,2025,11716-11716_game_2,Blue,Gnar,Jayce,Renata Glasc,Poppy,Xin Zhao,Jax,Gnar,Wukong,Akali,Kai'Sa,Rakan,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,LNG Esports,LPL,2025,11716-11716_game_2,Red,Renekton,Skarner,Ashe,Varus,Miss Fortune,Gragas,Renekton,Lee Sin,Taliyah,Corki,Rell,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,LNG Esports,LPL,2025,11716-11716_game_3,Blue,Jax,Sejuani,Nocturne,Poppy,Udyr,Lulu,Jax,Volibear,Yone,Ashe,Braum,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ThunderTalk Gaming,LPL,2025,11716-11716_game_3,Red,Gragas,Skarner,Renata Glasc,Ambessa,Zac,Zyra,Gragas,Xin Zhao,Viktor,Varus,Karma,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,LNG Esports,LPL,2025,11716-11716_game_4,Blue,Ambessa,Udyr,Maokai,Caitlyn,Renata Glasc,Pyke,Ambessa,Sejuani,Sylas,Twitch,Lulu,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,ThunderTalk Gaming,LPL,2025,11716-11716_game_4,Red,Poppy,Skarner,Miss Fortune,Nocturne,Draven,Nautilus,Poppy,Viego,Azir,Jinx,Blitzcrank,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Royal Never Give Up,LPL,2025,11717-11717_game_1,Blue,Jax,Skarner,Nocturne,Varus,Wukong,Xin Zhao,Jax,Viego,Orianna,Ashe,Braum,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,FunPlus Phoenix,LPL,2025,11717-11717_game_1,Red,K'Sante,Viktor,Corki,Rumble,Galio,Jayce,K'Sante,Vi,Aurora,Kalista,Neeko,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Royal Never Give Up,LPL,2025,11717-11717_game_2,Blue,Ambessa,Nocturne,Skarner,Galio,Leona,Rell,Ambessa,Lee Sin,Akali,Varus,Nautilus,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,FunPlus Phoenix,LPL,2025,11717-11717_game_2,Red,Jayce,Viktor,Corki,Rumble,LeBlanc,Kindred,Jayce,Wukong,Sylas,Miss Fortune,Rakan,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,FunPlus Phoenix,LPL,2025,11717-11717_game_3,Blue,Gnar,Viktor,LeBlanc,Galio,Kai'Sa,Jhin,Gnar,Sejuani,Taliyah,Jinx,Rell,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Royal Never Give Up,LPL,2025,11717-11717_game_3,Red,Renekton,Skarner,Corki,Rumble,Yone,Tristana,Renekton,Xin Zhao,Ahri,Aphelios,Thresh,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,FunPlus Phoenix,LPL,2025,11717-11717_game_4,Blue,Udyr,Viktor,LeBlanc,Galio,Kai'Sa,Jhin,Udyr,Nidalee,Corki,Sivir,Leona,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Royal Never Give Up,LPL,2025,11717-11717_game_4,Red,Aatrox,Skarner,Ezreal,Rumble,Xayah,Ziggs,Aatrox,Karthus,Yone,Tristana,Alistar,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Ultra Prime,LPL,2025,11718-11718_game_1,Blue,K'Sante,Orianna,Poppy,Kalista,Rakan,Jayce,K'Sante,Wukong,Akali,Ashe,Braum,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
