,year,gameid,side,num_counters_picked,num_counters_banned,PGA,higher_PGA,mean_champ_wr,mean_team_wr,result,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,pga_diff
39466,2022,ESPORTSTMNT01_2139266,Blue,0,0,0,0,0.4925235400115388,0.3333333333333333,0,4558.0,4845.0,78.0,2661.0,3862.0,56.0,1897.0,983.0,22.0,4.0,0.0,0.0,0.0,0.0,4.0,-1
39467,2022,ESPORTSTMNT01_2139266,Red,1,0,1,1,0.5106885640614094,0.4122807017543859,1,2661.0,3862.0,56.0,4558.0,4845.0,78.0,-1897.0,-983.0,-22.0,0.0,0.0,4.0,4.0,0.0,0.0,1
39470,2022,ESPORTSTMNT01_2139274,Blue,1,0,1,0,0.4851837777375111,0.3333333333333333,1,3186.0,4510.0,80.0,3312.0,4763.0,80.0,-126.0,-253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
39471,2022,ESPORTSTMNT01_2139274,Red,2,0,2,1,0.4954452283452297,0.4122807017543859,0,3312.0,4763.0,80.0,3186.0,4510.0,80.0,126.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39472,2022,ESPORTSTMNT01_2139284,Blue,2,1,3,1,0.4983819937020687,0.3333333333333333,0,3426.0,4575.0,78.0,3546.0,4889.0,82.0,-120.0,-314.0,-4.0,1.0,0.0,1.0,1.0,0.0,0.0,3
39473,2022,ESPORTSTMNT01_2139284,Red,0,0,0,0,0.4946513170330895,0.4122807017543859,1,3546.0,4889.0,82.0,3426.0,4575.0,78.0,120.0,314.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,-3
39474,2022,ESPORTSTMNT01_2139297,Blue,1,0,1,1,0.4988900954380775,0.3333333333333333,1,3211.0,4668.0,85.0,2874.0,4481.0,72.0,337.0,187.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39475,2022,ESPORTSTMNT01_2139297,Red,0,0,0,0,0.4985585779444927,0.4122807017543859,0,2874.0,4481.0,72.0,3211.0,4668.0,85.0,-337.0,-187.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
39920,2022,ESPORTSTMNT01_2149347,Blue,0,0,0,0,0.5042622377765239,0.3404255319148936,0,3174.0,4644.0,81.0,3447.0,4442.0,73.0,-273.0,202.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,-1
39921,2022,ESPORTSTMNT01_2149347,Red,0,1,1,1,0.4950750270373107,0.25,1,3447.0,4442.0,73.0,3174.0,4644.0,81.0,273.0,-202.0,-8.0,1.0,0.0,0.0,0.0,0.0,0.0,1
39924,2022,ESPORTSTMNT01_2149350,Blue,0,0,0,0,0.4963231044514647,0.3404255319148936,1,3467.0,4975.0,90.0,2904.0,4469.0,67.0,563.0,506.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
39925,2022,ESPORTSTMNT01_2149350,Red,1,0,1,1,0.5041542594037177,0.25,0,2904.0,4469.0,67.0,3467.0,4975.0,90.0,-563.0,-506.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39928,2022,ESPORTSTMNT01_2149353,Blue,0,1,1,1,0.4884394087690223,0.25,0,3223.0,4915.0,85.0,3392.0,4711.0,88.0,-169.0,204.0,-3.0,0.0,0.0,0.0,0.0,1.0,0.0,1
39929,2022,ESPORTSTMNT01_2149353,Red,0,0,0,0,0.5006798055245976,0.3404255319148936,1,3392.0,4711.0,88.0,3223.0,4915.0,85.0,169.0,-204.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,-1
40036,2022,ESPORTSTMNT01_2240494,Blue,0,0,0,0,0.499234710761227,0.4666666666666667,0,2547.0,3616.0,56.0,4004.0,4919.0,88.0,-1457.0,-1303.0,-32.0,0.0,0.0,0.0,1.0,2.0,0.0,-1
40037,2022,ESPORTSTMNT01_2240494,Red,0,1,1,1,0.4954862090795255,0.7202380952380952,1,4004.0,4919.0,88.0,2547.0,3616.0,56.0,1457.0,1303.0,32.0,1.0,2.0,0.0,0.0,0.0,0.0,1
40038,2022,ESPORTSTMNT01_2240500,Blue,0,0,0,0,0.4984650488899326,0.4666666666666667,0,2754.0,4135.0,61.0,3008.0,4348.0,73.0,-254.0,-213.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,-2
40039,2022,ESPORTSTMNT01_2240500,Red,1,1,2,1,0.4950932384357845,0.7202380952380952,1,3008.0,4348.0,73.0,2754.0,4135.0,61.0,254.0,213.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,2
40040,2022,ESPORTSTMNT01_2240502,Blue,0,0,0,0,0.502617993739942,0.4666666666666667,0,2873.0,4189.0,61.0,3220.0,4434.0,81.0,-347.0,-245.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,-3
40041,2022,ESPORTSTMNT01_2240502,Red,2,1,3,1,0.4989038183620999,0.7202380952380952,1,3220.0,4434.0,81.0,2873.0,4189.0,61.0,347.0,245.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3
40042,2022,ESPORTSTMNT01_2240527,Blue,0,0,0,0,0.4934958266323722,0.38125,1,3690.0,4370.0,76.0,2377.0,3173.0,46.0,1313.0,1197.0,30.0,0.0,2.0,0.0,0.0,0.0,1.0,-2
40043,2022,ESPORTSTMNT01_2240527,Red,0,2,2,1,0.5070533287881933,0.5418181818181819,0,2377.0,3173.0,46.0,3690.0,4370.0,76.0,-1313.0,-1197.0,-30.0,0.0,0.0,1.0,0.0,2.0,0.0,2
40044,2022,ESPORTSTMNT01_2240529,Blue,0,0,0,0,0.5008348335532894,0.38125,1,3325.0,4537.0,66.0,3278.0,4054.0,60.0,47.0,483.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,-1
40045,2022,ESPORTSTMNT01_2240529,Red,1,0,1,1,0.5068225643240782,0.5418181818181819,0,3278.0,4054.0,60.0,3325.0,4537.0,66.0,-47.0,-483.0,-6.0,2.0,1.0,1.0,1.0,2.0,2.0,1
40046,2022,ESPORTSTMNT01_2240556,Blue,0,0,0,0,0.4931500492721763,0.4666666666666667,1,3419.0,4824.0,73.0,3056.0,3873.0,61.0,363.0,951.0,12.0,0.0,2.0,0.0,1.0,0.0,2.0,-3
40047,2022,ESPORTSTMNT01_2240556,Red,2,1,3,1,0.4987570760998417,0.5418181818181819,0,3056.0,3873.0,61.0,3419.0,4824.0,73.0,-363.0,-951.0,-12.0,1.0,0.0,2.0,0.0,2.0,0.0,3
40048,2022,ESPORTSTMNT01_2240560,Blue,0,0,0,0,0.4888020763813553,0.4666666666666667,0,3308.0,4529.0,81.0,3234.0,3959.0,64.0,74.0,570.0,17.0,0.0,0.0,1.0,1.0,1.0,0.0,-2
40049,2022,ESPORTSTMNT01_2240560,Red,1,1,2,1,0.5060752211735743,0.5418181818181819,1,3234.0,3959.0,64.0,3308.0,4529.0,81.0,-74.0,-570.0,-17.0,1.0,1.0,0.0,0.0,0.0,1.0,2
40050,2022,ESPORTSTMNT01_2240562,Blue,0,0,0,0,0.4947544817994089,0.4666666666666667,1,3664.0,4390.0,83.0,3263.0,4506.0,72.0,401.0,-116.0,11.0,1.0,0.0,0.0,0.0,1.0,0.0,-1
40051,2022,ESPORTSTMNT01_2240562,Red,1,0,1,1,0.4914116444612891,0.5418181818181819,0,3263.0,4506.0,72.0,3664.0,4390.0,83.0,-401.0,116.0,-11.0,0.0,1.0,0.0,1.0,0.0,0.0,1
40096,2022,ESPORTSTMNT01_2250277,Blue,1,1,2,1,0.5172769771704954,0.7202380952380952,1,3439.0,3685.0,59.0,2697.0,3707.0,45.0,742.0,-22.0,14.0,2.0,1.0,1.0,0.0,2.0,1.0,1
40097,2022,ESPORTSTMNT01_2250277,Red,0,1,1,0,0.4889622558434978,0.38125,0,2697.0,3707.0,45.0,3439.0,3685.0,59.0,-742.0,22.0,-14.0,0.0,2.0,1.0,2.0,1.0,1.0,-1
40098,2022,ESPORTSTMNT01_2250289,Blue,0,0,0,0,0.4941830951042991,0.4666666666666667,0,3176.0,3718.0,61.0,4789.0,4607.0,79.0,-1613.0,-889.0,-18.0,1.0,2.0,1.0,4.0,0.0,0.0,-2
40099,2022,ESPORTSTMNT01_2250289,Red,1,1,2,1,0.514638784407226,0.7202380952380952,1,4789.0,4607.0,79.0,3176.0,3718.0,61.0,1613.0,889.0,18.0,4.0,0.0,0.0,1.0,2.0,1.0,2
40106,2022,ESPORTSTMNT01_2250367,Blue,2,1,3,1,0.5058495715472761,0.5418181818181819,0,2911.0,4622.0,72.0,3207.0,4915.0,83.0,-296.0,-293.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,2
40107,2022,ESPORTSTMNT01_2250367,Red,0,1,1,0,0.4979464763032372,0.7202380952380952,1,3207.0,4915.0,83.0,2911.0,4622.0,72.0,296.0,293.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-2
